mode,max_memory_mb,query_id,query,iteration,time_millis,memory_usage_bytes,disk_usage_bytes,total_entries,disk_evictions
DataFusionDefault,,25,"SELECT ""SearchPhrase"" FROM hits WHERE ""SearchPhrase"" <> '' ORDER BY ""SearchPhras",2,324,,,,
DataFusionDefault,,26,"SELECT ""SearchPhrase"" FROM hits WHERE ""SearchPhrase"" <> '' ORDER BY to_timestamp",0,411,,,,
DataFusionDefault,,26,"SELECT ""SearchPhrase"" FROM hits WHERE ""SearchPhrase"" <> '' ORDER BY to_timestamp",1,448,,,,
DataFusionDefault,,26,"SELECT ""SearchPhrase"" FROM hits WHERE ""SearchPhrase"" <> '' ORDER BY to_timestamp",2,409,,,,
DataFusionDefault,,27,"SELECT ""CounterID"", AVG(length(""URL"")) AS l, COUNT(*) AS c FROM hits WHERE ""URL""",0,1293,,,,
DataFusionDefault,,27,"SELECT ""CounterID"", AVG(length(""URL"")) AS l, COUNT(*) AS c FROM hits WHERE ""URL""",1,1269,,,,
DataFusionDefault,,27,"SELECT ""CounterID"", AVG(length(""URL"")) AS l, COUNT(*) AS c FROM hits WHERE ""URL""",2,1249,,,,
DataFusionDefault,,28,"SELECT REGEXP_REPLACE(""Referer"", '^https?://(?:www\\.)?([^/]+)/.*$', '\\1') AS k",0,9141,,,,
DataFusionDefault,,28,"SELECT REGEXP_REPLACE(""Referer"", '^https?://(?:www\\.)?([^/]+)/.*$', '\\1') AS k",1,9213,,,,
DataFusionDefault,,28,"SELECT REGEXP_REPLACE(""Referer"", '^https?://(?:www\\.)?([^/]+)/.*$', '\\1') AS k",2,9160,,,,
DataFusionDefault,,29,"SELECT SUM(""ResolutionWidth""), SUM(""ResolutionWidth"" + 1), SUM(""ResolutionWidth""",0,404,,,,
DataFusionDefault,,29,"SELECT SUM(""ResolutionWidth""), SUM(""ResolutionWidth"" + 1), SUM(""ResolutionWidth""",1,418,,,,
DataFusionDefault,,29,"SELECT SUM(""ResolutionWidth""), SUM(""ResolutionWidth"" + 1), SUM(""ResolutionWidth""",2,386,,,,
DataFusionDefault,,30,"SELECT ""SearchEngineID"", ""ClientIP"", COUNT(*) AS c, SUM(""IsRefresh""), AVG(""Resol",0,717,,,,
DataFusionDefault,,30,"SELECT ""SearchEngineID"", ""ClientIP"", COUNT(*) AS c, SUM(""IsRefresh""), AVG(""Resol",1,694,,,,
DataFusionDefault,,30,"SELECT ""SearchEngineID"", ""ClientIP"", COUNT(*) AS c, SUM(""IsRefresh""), AVG(""Resol",2,739,,,,
DataFusionDefault,,31,"SELECT ""WatchID"", ""ClientIP"", COUNT(*) AS c, SUM(""IsRefresh""), AVG(""ResolutionWi",0,830,,,,
DataFusionDefault,,31,"SELECT ""WatchID"", ""ClientIP"", COUNT(*) AS c, SUM(""IsRefresh""), AVG(""ResolutionWi",1,830,,,,
DataFusionDefault,,31,"SELECT ""WatchID"", ""ClientIP"", COUNT(*) AS c, SUM(""IsRefresh""), AVG(""ResolutionWi",2,841,,,,
DataFusionDefault,,32,"SELECT ""WatchID"", ""ClientIP"", COUNT(*) AS c, SUM(""IsRefresh""), AVG(""ResolutionWi",0,3087,,,,
DataFusionDefault,,32,"SELECT ""WatchID"", ""ClientIP"", COUNT(*) AS c, SUM(""IsRefresh""), AVG(""ResolutionWi",1,3037,,,,
DataFusionDefault,,32,"SELECT ""WatchID"", ""ClientIP"", COUNT(*) AS c, SUM(""IsRefresh""), AVG(""ResolutionWi",2,2741,,,,
DataFusionDefault,,33,"SELECT ""URL"", COUNT(*) AS c FROM hits GROUP BY ""URL"" ORDER BY c DESC LIMIT 10",0,3438,,,,
DataFusionDefault,,33,"SELECT ""URL"", COUNT(*) AS c FROM hits GROUP BY ""URL"" ORDER BY c DESC LIMIT 10",1,3302,,,,
DataFusionDefault,,33,"SELECT ""URL"", COUNT(*) AS c FROM hits GROUP BY ""URL"" ORDER BY c DESC LIMIT 10",2,3294,,,,
DataFusionDefault,,34,"SELECT 1, ""URL"", COUNT(*) AS c FROM hits GROUP BY 1, ""URL"" ORDER BY c DESC LIMIT",0,3341,,,,
DataFusionDefault,,34,"SELECT 1, ""URL"", COUNT(*) AS c FROM hits GROUP BY 1, ""URL"" ORDER BY c DESC LIMIT",1,3322,,,,
DataFusionDefault,,34,"SELECT 1, ""URL"", COUNT(*) AS c FROM hits GROUP BY 1, ""URL"" ORDER BY c DESC LIMIT",2,3369,,,,
DataFusionDefault,,35,"SELECT ""ClientIP"", ""ClientIP"" - 1, ""ClientIP"" - 2, ""ClientIP"" - 3, COUNT(*) AS c",0,1043,,,,
DataFusionDefault,,35,"SELECT ""ClientIP"", ""ClientIP"" - 1, ""ClientIP"" - 2, ""ClientIP"" - 3, COUNT(*) AS c",1,1015,,,,
DataFusionDefault,,35,"SELECT ""ClientIP"", ""ClientIP"" - 1, ""ClientIP"" - 2, ""ClientIP"" - 3, COUNT(*) AS c",2,1050,,,,
DataFusionDefault,,36,"SELECT ""URL"", COUNT(*) AS PageViews FROM hits WHERE ""CounterID"" = 62 AND ""EventD",0,180,,,,
DataFusionDefault,,36,"SELECT ""URL"", COUNT(*) AS PageViews FROM hits WHERE ""CounterID"" = 62 AND ""EventD",1,202,,,,
DataFusionDefault,,36,"SELECT ""URL"", COUNT(*) AS PageViews FROM hits WHERE ""CounterID"" = 62 AND ""EventD",2,203,,,,
DataFusionDefault,,37,"SELECT ""Title"", COUNT(*) AS PageViews FROM hits WHERE ""CounterID"" = 62 AND ""Even",0,102,,,,
DataFusionDefault,,37,"SELECT ""Title"", COUNT(*) AS PageViews FROM hits WHERE ""CounterID"" = 62 AND ""Even",1,101,,,,
DataFusionDefault,,37,"SELECT ""Title"", COUNT(*) AS PageViews FROM hits WHERE ""CounterID"" = 62 AND ""Even",2,105,,,,
DataFusionDefault,,38,"SELECT ""URL"", COUNT(*) AS PageViews FROM hits WHERE ""CounterID"" = 62 AND ""EventD",0,142,,,,
DataFusionDefault,,38,"SELECT ""URL"", COUNT(*) AS PageViews FROM hits WHERE ""CounterID"" = 62 AND ""EventD",1,119,,,,
DataFusionDefault,,38,"SELECT ""URL"", COUNT(*) AS PageViews FROM hits WHERE ""CounterID"" = 62 AND ""EventD",2,136,,,,
DataFusionDefault,,39,"SELECT ""TraficSourceID"", ""SearchEngineID"", ""AdvEngineID"", CASE WHEN (""SearchEngi",0,433,,,,
